date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:58:25	124/124	---MC-	200	added ('OK')	text/plain	date:Fri,%2010%20Jul%202026%2013:58:27%20GMT	https://psicologoleonardosc.com/robots.txt		(from )
10:58:26	146053/146053	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202026%2013:58:27%20GMT	https://psicologoleonardosc.com/	C:/My%20Web%20Sites/leonardo_amaral/psicologoleonardosc.com/index.html	(from )
10:58:26	1725/1725	---MC-	200	added ('OK')	application/rss+xml	date:Mon,%2013%20Oct%202025%2022:56:31%20GMT	https://psicologoleonardosc.com/comments/feed/	C:/My%20Web%20Sites/leonardo_amaral/psicologoleonardosc.com/comments/feed/index.html	(from https://psicologoleonardosc.com/)
10:58:26	2251/2251	---MC-	200	added ('OK')	application/json	date:Fri,%2010%20Jul%202026%2013:58:27%20GMT	https://psicologoleonardosc.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fpsicologoleonardosc.com%2F	C:/My%20Web%20Sites/leonardo_amaral/psicologoleonardosc.com/wp-json/oembed/1.0/embeddfd3.json	(from https://psicologoleonardosc.com/)
10:58:26	2006/2006	---MC-	200	added ('OK')	application/rss+xml	date:Mon,%2013%20Oct%202025%2022:56:31%20GMT	https://psicologoleonardosc.com/feed/	C:/My%20Web%20Sites/leonardo_amaral/psicologoleonardosc.com/feed/index.html	(from https://psicologoleonardosc.com/)
10:58:26	2408/2408	---MC-	200	added ('OK')	text/xml	date:Fri,%2010%20Jul%202026%2013:58:27%20GMT	https://psicologoleonardosc.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fpsicologoleonardosc.com%2F&format=xml	C:/My%20Web%20Sites/leonardo_amaral/psicologoleonardosc.com/wp-json/oembed/1.0/embed37ca	(from https://psicologoleonardosc.com/)
10:58:27	5456/5456	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Jul%202025%2019:13:06%20GMT	https://psicologoleonardosc.com/wp-content/themes/hello-elementor/assets/css/reset.css?ver=3.4.4	C:/My%20Web%20Sites/leonardo_amaral/psicologoleonardosc.com/wp-content/themes/hello-elementor/assets/css/resetedb1.css	(from https://psicologoleonardosc.com/)
10:58:27	5097/5097	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Jul%202025%2019:13:06%20GMT	https://psicologoleonardosc.com/wp-content/themes/hello-elementor/assets/css/theme.css?ver=3.4.4	C:/My%20Web%20Sites/leonardo_amaral/psicologoleonardosc.com/wp-content/themes/hello-elementor/assets/css/themeedb1.css	(from https://psicologoleonardosc.com/)
10:58:27	7182/7182	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Jul%202025%2019:13:06%20GMT	https://psicologoleonardosc.com/wp-content/themes/hello-elementor/assets/css/header-footer.css?ver=3.4.4	C:/My%20Web%20Sites/leonardo_amaral/psicologoleonardosc.com/wp-content/themes/hello-elementor/assets/css/header-footeredb1.css	(from https://psicologoleonardosc.com/)
10:58:28	54666/54666	---M--	200	added ('OK')	text/css	date:Fri,%2027%20Mar%202026%2013:49:41%20GMT	https://psicologoleonardosc.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.35.8	C:/My%20Web%20Sites/leonardo_amaral/psicologoleonardosc.com/wp-content/plugins/elementor/assets/css/frontend.minfe70.css	(from https://psicologoleonardosc.com/)
